Year,Month,FCI
2004,1,57.77824715
2004,2,52.87207741
2004,3,51.04927792
2004,4,63.14957507
2004,5,78.50950884
2004,6,87.12778614
2004,7,88.7805511
2004,8,79.53871309
2004,9,63.11481273
2004,10,53.51321783
2004,11,53.75115012
2004,12,62.3307849
2005,1,73.39849636
2005,2,78.43016193
2005,3,77.32143506
2005,4,88.37337028
2005,5,83.44687425
2005,6,70.14023268
2005,7,61.27158665
2005,8,53.00674895
2005,9,46.1289974
2005,10,42.72930897
2005,11,42.69724264
2005,12,38.18336331
2006,1,16.04857919
2006,2,0.450943223
2006,3,0.135928872
2006,4,5.778406832
2006,5,19.97838622
2006,6,33.35403642
2006,7,35.97637796
2006,8,29.81820206
2006,9,24.50146856
2006,10,28.86397828
2006,11,35.71335588
2006,12,46.45547613
2007,1,65.8627431
2007,2,83.49586637
2007,3,86.24272444
2007,4,96.71892699
2007,5,94.2700181
2007,6,84.54014469
2007,7,80.10465728
2007,8,80.54902522
2007,9,90.20466058
2007,10,95.89317247
2007,11,97.42639593
2007,12,93.30728705
2008,1,82.11756441
2008,2,52.71901471
2008,3,35.55673335
2008,4,33.34087221
2008,5,31.93983903
2008,6,30.35434342
2008,7,27.11117317
2008,8,21.86029243
2008,9,23.88966211
2008,10,37.72952453
2008,11,56.15896555
2008,12,75.58115986
2009,1,87.96998203
2009,2,65.07280862
2009,3,39.08307329
2009,4,24.18386463
2009,5,10.14853351
2009,6,7.228195363
2009,7,8.697142828
2009,8,8.844616584
2009,9,3.287616186
2009,10,0.804989124
2009,11,7.43E-02
2009,12,2.57E-05
2010,1,0.621657979
2010,2,33.01031202
2010,3,59.67629971
2010,4,86.4407633
2010,5,99.55270022
2010,6,99.98481648
2010,7,99.14808529
2010,8,98.90147716
2010,9,95.43940193
2010,10,89.21961586
2010,11,83.76626195
2010,12,78.55190251
2011,1,61.8113345
2011,2,28.4583379
2011,3,10.22375693
2011,4,2.352045661
2011,5,0.785195828
2011,6,2.084286524
2011,7,1.818427538
2011,8,2.404949943
2011,9,11.24716884
2011,10,28.51664596
2011,11,45.76890475
2011,12,66.67749917
2012,1,93.10979365
2012,2,82.83801855
2012,3,57.7486165
2012,4,43.03517219
2012,5,39.86373134
2012,6,46.22009033
2012,7,57.88848542
2012,8,66.71889191
2012,9,74.4172641
2012,10,82.18050063
2012,11,88.05663207
2012,12,93.08680365
2013,1,89.23094867
2013,2,67.94573586
2013,3,47.71289889
2013,4,53.90021589
2013,5,58.93580613
2013,6,63.38940545
2013,7,65.84579554
2013,8,62.8682592
2013,9,57.66209104
2013,10,49.66969432
2013,11,39.43356114
2013,12,32.99850756
2014,1,19.81543948
2014,2,18.95993067
2014,3,19.84997545
2014,4,23.20497297
2014,5,27.2604474
2014,6,28.22485942
2014,7,24.3888731
2014,8,16.69230436
2014,9,12.83567895
2014,10,18.82204763
2014,11,26.72098968
2014,12,33.61043696
2015,1,30.5611942
2015,2,28.59485775
2015,3,22.50691618
2015,4,17.6833908
2015,5,21.40933176
2015,6,32.69581037
2015,7,45.37803072
2015,8,49.94756468
2015,9,45.6306305
2015,10,42.12368992
2015,11,38.17307049
2015,12,39.37580115
2016,1,43.26547852
2016,2,52.62234591
2016,3,53.51348226
2016,4,65.8502623
2016,5,64.71614891
2016,6,64.74106959
2016,7,63.52274582
2016,8,68.99787176
2016,9,67.18307435
2016,10,70.35579044
2016,11,65.81202735
2016,12,63.73441846
2017,1,46.24206154
2017,2,29.27917851
2017,3,20.81406355
2017,4,16.69918115
2017,5,17.19642285
2017,6,16.19147877
2017,7,13.02799667
2017,8,NA
2017,9,NA
2017,10,NA
2017,11,NA
2017,12,NA